Are you serious?	你说真的吗？
Are you sure	你确定吗
As you wish	如你所愿
Ask please	请问
Be careful	小心
By all means	当然可以、一定
Can I help you	我可以帮你吗
Certainly not	当然不
Cheer up	振作起来
Cheers	干杯
Come on	加油；快点
Congratulations	祝贺
Cool	酷
Could you help me	你可以帮我吗
Do as you like	随你便
Do you have a room	你有房间吗
Don't be a wet blanket	别扫兴
Don't bother	不用麻烦了；不打扰了
Don't mention it	别客气；别提了；不客气；不用介意；没关系
Don't trouble me	别麻烦我
Don't worry	别担心
Enjoy yourself	过得愉快；玩得开心
Exactly	一点不错，完全正确
Excuse me	对不起，打扰一下
forget it	得了吧；算了吧；没关系；不必在意
Go ahead	去吧，问吧，干吧，做吧，继续说；开始做；着手干；着手做某事，尽管去做；表示鼓励对方去做刚提到的事
Go for it	去争取
Good job	干得不错
Good luck	祝好运
had been	已经去过了（过去完成时态）
had gone	已经去了还没回来（过去完成时态）
Have a good time	过得愉快；玩得开心
Have a good trip	祝旅途愉快
have been	已经去过了（现在完成时态）
have gone	已经去了还没回来（现在完成时态）
Have you bought the book	你买了那本书吗
Help yourself	随意；随便；别客气；请自便
How is it going	最近还好吗
How many watches do you have	你有多少块手表
How much is your watch	你的表多少钱
How much is your watch	你的手表多少钱
I beg to differ	恕我不能同意
I can't agree more	我完全同意
I can't stand it	我受不了了
I couldn't agree more	我非常同意
I didn't get it	我不明白
I don't know	我不知道
I got it	我明白了
I have no idea	我不知道
I hope I didn't bother you	希望没打扰到你
I think so	我想是这样的
I'd love to	我愿意
I'm afraid not	恐怕不是这样的
I'm all ears	我洗耳恭听
I'm fine	我很好
I'm happy to hear that	我很高兴听你这么说
I'm in no hurry	我不着急
I'm not free	我没空
I'm sorry	对不起
It couldn't be worse	情况不能再糟了
It depends	看情况而定
It doesn't matter	没关系
It is up to you	取决于你
It just depends	看情况
it was boring	它是令人厌烦的
it was expensive	它是昂贵的
it was pleasant	它是令人愉快的
it was terrible	它是令人可怕的
It's a deal	一言为定；就这样定了
It's a piece of cake	小菜一碟
It's a pity	真遗憾
It's a pleasure	乐意效劳
it's great	极好的
It's hard to say	这很难说
It's my pleasure	别客气
It's my share	我该付一份
It's not my cup of tea	我对此事不感兴趣
It's nothing	没事
it's ordinary	普通的
it's possible	可能的
it's terrible	可怕的
It's up to you	这取决于你；由你定；你决定吧
Keep cool	保持冷静，有话好好说
Keep it up	保持下去
Make yourself at home	别拘束
My pleasure	不用谢；乐意效劳；那是我应该做的
Neither do I	我也不
Never mind	没关系；不必担心
No comment	无可奉告
No doubt	毫无疑问
No hurry	不着急
No offence	无意冒犯
No problem	没问题
No way	决不，没门
No way	决不，没门；表示拒绝
No wonder	难怪
None of your business	不关你的事
Nonsense	胡说八道
Not at all	一点也不
Not exactly	不完全是这样
Not in the least	一点也不
Not really	不全是这样
Of course not	当然不
Oh, thanks	谢谢
Pardon	能再重复一遍吗
Pardon me	对不起，再说一遍
Really	真的吗
Same to you	和你一样
So long	再见
So what	那又怎样
Some hope was lost, some not	有些希望失去了，有些没有
Sorry	抱歉
Sorry to hear that	很难过听到那个消息
Sounds great	听起来好极了
Sure	当然，的确
Take it easy	别担心；别紧张；放轻松
Take your time	别着急；慢慢来；从容做
Thank you all the same	还是谢谢你了
That's a good idea	好主意
That's a great idea	是个好主意
That's all right	不要紧，没关系
That's great	那太棒了
That's interesting	那很有趣
That's it	就是这样
That's OK	好的；没关系
That's so easy	太容易了
The same to you	你也一样
We'd better not	我们最好不
We'll be fine	我们很好
Well done	干得好；做得好
What a pity	真可惜
What are you	你做什么工作的
What are you doing	你正在做什么
What are you up to	你在忙什么
What day is it today	今天星期几
What for	为什么
What is it over there	那边是什么
What time is it	几点钟了
What time is it now	现在什么时间
What would you like	你想要什么
What's for	为什么
What's the date today	今天几号
What's the matter with you	你怎么了
What's up	怎么了；出什么事了
What's wrong	你怎么了
What's your opinion	你怎么说
Why bother	何必费心；何必麻烦
Why not	为何不
With pleasure	好的，乐意效劳
Yes, please	是的，请
You are not alone	你不是一个人
You are so nice	你真好
You are welcome	别客气
You bet	当然
You got me there	你难住我了
You have green fingers	你是园艺高手
You never know	你永远不会知道
You read my mind	由你来决定
You said it	你说对了；我完全同意
You'd better not	你最好不要；表示委婉的拒绝
You're crazy	你疯了
You're lucky	你真幸运
You're welcome	不客气
